well_id,depth_m,api_gravity,reservoir_temp_C,dead_oil_viscosity_cP_at_res_temp,permeability_mD,porosity_frac,net_pay_m,initial_reservoir_pressure_bar,completion_year,pump_setting_depth_m,rod_string_grade
BGW-001,1287.0,17.88,47.7,3380.0,83.0,0.268,14.7,52.5,2013,1163.5,API D
BGW-002,1363.4,18.29,47.6,2441.0,129.5,0.23,4.9,54.0,2007,1262.2,API C
BGW-003,1077.3,18.94,47.8,3680.0,118.1,0.222,4.6,30.4,2017,1012.0,HS (High Strength)
BGW-004,1062.9,17.74,46.9,1501.0,95.5,0.223,7.2,48.4,2016,959.2,HS (High Strength)
BGW-005,1250.1,17.62,47.7,3778.0,185.6,0.206,13.6,29.9,2019,1063.7,API C
BGW-006,1232.4,18.41,47.6,2498.0,249.1,0.193,5.6,48.4,2008,1117.2,API C
BGW-007,1282.5,18.27,47.1,2869.0,156.4,0.183,10.1,32.5,2009,1221.5,API D
BGW-008,929.2,17.56,46.6,3249.0,245.0,0.251,13.3,39.2,2011,880.5,API D
BGW-009,911.4,17.18,47.4,2509.0,106.4,0.225,6.1,49.4,2013,816.3,API D
BGW-010,1215.1,17.72,46.2,1237.0,386.7,0.262,13.8,34.3,2012,1174.2,API C
BGW-011,1258.4,17.9,46.5,1157.0,365.9,0.221,6.8,35.7,2018,1096.4,HS (High Strength)
BGW-012,1279.3,18.44,46.9,3121.0,254.4,0.238,5.2,39.6,2014,1093.8,API D
BGW-013,1064.9,17.29,46.2,2974.0,109.7,0.263,12.1,37.1,2015,908.1,HS (High Strength)
BGW-014,1141.2,18.57,46.2,2601.0,221.7,0.264,12.0,41.6,2015,1006.5,API D
BGW-015,1160.3,17.88,46.0,3857.0,363.7,0.193,11.8,28.8,2016,1025.4,API C
