well_id,cycle_number,injection_start_date,steam_volume_tonnes,injection_pressure_barg,soak_days,production_start_date,production_days_actual,peak_wellbore_temp_C,thermal_decay_tau_days,cycle_oil_produced_bbl,cumulative_oil_bbl,cumulative_steam_tonnes,steam_oil_ratio_SOR,rod_failure_in_cycle
BGW-001,1,2019-08-08,1245.5,20.9,8,2019-08-16,107,176.2,39.9,6662.7,6662.7,1245.5,1.18,False
BGW-001,2,2019-12-10,1212.4,28.9,9,2019-12-19,101,177.0,39.2,6599.9,13262.6,2457.9,1.17,False
BGW-001,3,2020-04-07,1435.2,22.5,4,2020-04-11,84,186.2,43.7,6492.7,19755.3,3893.1,1.24,False
BGW-001,4,2020-07-11,1403.4,22.1,9,2020-07-20,140,184.5,43.1,8066.5,27821.8,5296.5,1.2,True
BGW-001,5,2020-12-16,574.4,29.3,7,2020-12-23,136,145.2,26.5,4418.0,32239.8,5870.9,1.15,False
BGW-001,6,2021-05-13,1488.4,19.8,5,2021-05-18,140,188.0,44.8,8265.6,40505.3,7359.3,1.14,False
BGW-002,1,2019-01-26,1463.1,33.9,5,2019-01-31,96,190.9,44.3,8214.9,8214.9,1463.1,1.12,False
BGW-002,2,2019-05-12,1306.9,24.0,7,2019-05-19,75,180.2,41.1,6661.4,14876.2,2770.1,1.17,True
BGW-002,3,2019-08-10,1110.8,44.6,4,2019-08-14,110,176.5,37.2,7680.6,22556.9,3880.9,1.08,True
BGW-002,4,2019-12-07,1135.3,41.0,8,2019-12-15,45,176.7,37.7,4610.3,27167.2,5016.2,1.16,False
BGW-002,5,2020-01-31,1210.7,26.1,9,2020-02-09,136,176.0,39.2,8583.6,35750.8,6226.9,1.1,False
BGW-002,6,2020-07-03,579.4,36.2,8,2020-07-11,42,147.4,26.6,3515.4,39266.2,6806.2,1.09,False
BGW-002,7,2020-08-30,554.0,27.6,9,2020-09-08,89,143.6,26.1,4931.7,44197.8,7360.2,1.05,False
BGW-003,1,2019-05-06,438.2,22.6,4,2019-05-10,88,136.5,23.8,3100.9,3100.9,438.2,0.89,False
BGW-003,2,2019-08-15,965.9,32.6,6,2019-08-21,77,165.9,34.3,4763.6,7864.5,1404.1,1.12,False
BGW-003,3,2019-11-15,960.1,21.1,5,2019-11-20,44,162.1,34.2,3543.3,11407.8,2364.2,1.3,False
BGW-004,1,2019-01-01,1101.4,22.8,9,2019-01-10,72,168.8,37.0,6965.7,6965.7,1101.4,0.99,False
BGW-004,2,2019-03-28,998.9,28.4,8,2019-04-05,43,165.4,35.0,4736.3,11702.0,2100.3,1.13,False
BGW-004,3,2019-05-25,1195.8,37.9,9,2019-06-03,137,178.1,38.9,10948.9,22650.9,3296.1,0.92,True
BGW-004,4,2019-10-22,543.7,23.4,7,2019-10-29,73,141.1,25.9,5765.6,28416.5,3839.8,0.85,False
BGW-004,5,2020-01-12,1300.4,41.8,8,2020-01-20,140,184.4,41.0,11412.4,39828.9,5140.3,0.81,True
BGW-004,6,2020-06-17,1259.0,31.0,9,2020-06-26,120,179.1,40.2,10339.0,50167.9,6399.3,0.8,False
BGW-004,7,2020-10-30,1170.3,21.2,8,2020-11-07,65,171.8,38.4,6710.5,56878.4,7569.6,0.84,True
BGW-005,1,2019-10-03,786.9,39.5,8,2019-10-11,119,158.9,30.7,4826.9,4826.9,786.9,1.03,True
BGW-005,2,2020-02-13,977.4,33.6,7,2020-02-20,50,166.6,34.5,3990.5,8817.4,1764.2,1.26,True
BGW-005,3,2020-04-16,1169.2,32.8,8,2020-04-24,123,176.0,38.4,6404.5,15221.9,2933.4,1.21,True
BGW-005,4,2020-08-28,1134.2,44.6,6,2020-09-03,130,177.8,37.7,6449.8,21671.7,4067.6,1.18,True
BGW-005,5,2021-01-16,738.9,24.5,8,2021-01-24,124,152.0,29.8,4393.0,26064.7,4806.5,1.16,False
BGW-005,6,2021-06-02,1034.4,41.9,6,2021-06-08,45,172.0,35.7,3826.0,29890.7,5840.9,1.23,False
BGW-006,1,2019-01-02,1251.2,34.3,3,2019-01-05,148,180.5,40.0,9143.4,9143.4,1251.2,0.86,True
BGW-006,2,2019-06-04,855.9,37.8,6,2019-06-10,100,161.7,32.1,6271.5,15414.9,2107.1,0.86,False
BGW-006,3,2019-09-20,613.1,29.3,4,2019-09-24,117,147.1,27.3,5708.9,21123.7,2720.2,0.81,False
BGW-006,4,2020-01-22,1074.6,18.4,3,2020-01-25,62,166.9,36.5,5450.0,26573.7,3794.9,0.9,False
BGW-006,5,2020-03-30,1086.6,26.2,7,2020-04-06,115,169.8,36.7,7441.9,34015.6,4881.5,0.9,True
BGW-006,6,2020-08-05,1142.9,22.2,6,2020-08-11,128,171.4,37.9,7971.0,41986.6,6024.4,0.9,True
BGW-007,1,2019-07-31,862.2,32.1,5,2019-08-05,58,159.8,32.2,4513.9,4513.9,862.2,1.2,False
BGW-007,2,2019-10-10,760.2,29.0,8,2019-10-18,107,153.8,30.2,5416.5,9930.4,1622.4,1.03,False
BGW-007,3,2020-02-07,411.3,20.2,9,2020-02-16,73,133.7,23.2,3488.5,13418.9,2033.7,0.95,True
BGW-007,4,2020-05-08,1324.6,29.0,5,2020-05-13,111,182.0,41.5,7961.3,21380.2,3358.3,0.99,False
BGW-007,5,2020-09-08,512.7,25.8,6,2020-09-14,54,140.5,25.3,3501.5,24881.8,3871.1,0.98,False
BGW-008,1,2019-02-16,408.8,25.0,7,2019-02-23,90,134.5,23.2,3589.6,3589.6,408.8,0.72,True
BGW-008,2,2019-05-31,1275.7,31.0,6,2019-06-06,48,179.7,40.5,4546.8,8136.5,1684.5,1.3,False
BGW-008,3,2019-07-30,980.0,25.0,5,2019-08-04,101,163.1,34.6,5749.0,13885.4,2664.5,1.21,True
BGW-008,4,2019-11-17,883.0,22.2,5,2019-11-22,100,157.4,32.7,5328.1,19213.5,3547.6,1.16,True
BGW-008,5,2020-03-05,564.0,38.6,5,2020-03-10,61,146.4,26.3,3546.5,22760.0,4111.6,1.14,False
BGW-009,1,2019-05-25,1298.8,24.5,8,2019-06-02,109,179.7,41.0,8002.0,8002.0,1298.8,1.02,False
BGW-009,2,2019-09-25,908.1,18.9,4,2019-09-29,53,158.5,33.2,4559.4,12561.4,2206.9,1.11,False
BGW-009,3,2019-11-28,800.3,20.6,4,2019-12-02,116,153.6,31.0,6201.6,18763.1,3007.2,1.01,False
BGW-009,4,2020-04-02,1003.0,35.2,8,2020-04-10,131,168.1,35.1,7577.6,26340.7,4010.2,0.96,False
BGW-009,5,2020-08-27,1026.4,34.7,3,2020-08-30,136,169.1,35.5,7893.0,34233.7,5036.6,0.93,True
BGW-009,6,2021-01-19,761.4,27.9,5,2021-01-24,88,153.8,30.2,5486.1,39719.7,5798.0,0.92,False
BGW-010,1,2019-03-11,996.8,40.0,3,2019-03-14,125,168.1,34.9,10632.9,10632.9,996.8,0.59,True
